timestamp;order_id;resource;event;event_type
01-06-2023 00:00:05.119;442;mes;new_order;NA
01-06-2023 00:00:05.119;442;mes;direct_to_line1;NA
01-06-2023 00:00:05.119;442;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:04:08.274;442;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:04:08.274;442;mes;enter_cell1;NA
01-06-2023 00:04:08.274;442;cell1;cell1_operation;start
01-06-2023 00:07:39.887;443;mes;new_order;NA
01-06-2023 00:07:39.887;443;mes;direct_to_line1;NA
01-06-2023 00:07:39.887;443;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:10:29.809;443;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:11:53.706;442;cell1;cell1_operation;end
01-06-2023 00:11:53.706;442;mes;order_completed;NA
01-06-2023 00:11:53.706;443;mes;enter_cell1;NA
01-06-2023 00:11:53.706;443;cell1;cell1_operation;start
01-06-2023 00:18:05.004;444;mes;new_order;NA
01-06-2023 00:18:05.004;444;mes;direct_to_line1;NA
01-06-2023 00:18:05.004;444;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:20:15.652;443;cell1;cell1_operation;end
01-06-2023 00:20:15.652;443;mes;order_completed;NA
01-06-2023 00:21:09.241;444;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:21:09.241;444;mes;enter_cell1;NA
01-06-2023 00:21:09.241;444;cell1;cell1_operation;start
01-06-2023 00:21:31.199;445;mes;new_order;NA
01-06-2023 00:21:31.199;445;mes;direct_to_line1;NA
01-06-2023 00:21:31.199;445;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:21:43.255;446;mes;new_order;NA
01-06-2023 00:21:43.255;446;mes;direct_to_line1;NA
01-06-2023 00:23:11.671;447;mes;new_order;NA
01-06-2023 00:23:11.671;447;mes;direct_to_line1;NA
01-06-2023 00:24:17.507;448;mes;new_order;NA
01-06-2023 00:24:17.507;448;mes;direct_to_line1;NA
01-06-2023 00:25:07.798;449;mes;new_order;NA
01-06-2023 00:25:07.798;449;mes;direct_to_line2;NA
01-06-2023 00:25:07.798;449;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 00:25:12.230;445;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:25:12.230;446;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:25:39.655;450;mes;new_order;NA
01-06-2023 00:25:39.655;450;mes;direct_to_line1;NA
01-06-2023 00:27:37.467;444;cell1;cell1_operation;end
01-06-2023 00:27:37.467;444;mes;order_completed;NA
01-06-2023 00:27:37.467;445;mes;enter_cell1;NA
01-06-2023 00:27:37.467;445;cell1;cell1_operation;start
01-06-2023 00:29:57.490;446;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:29:57.490;447;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:31:22.003;451;mes;new_order;NA
01-06-2023 00:31:22.003;451;mes;direct_to_line1;NA
01-06-2023 00:31:41.034;452;mes;new_order;NA
01-06-2023 00:31:41.034;452;mes;direct_to_line2;NA
01-06-2023 00:31:56.547;449;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 00:31:56.547;449;mes;enter_cell2;NA
01-06-2023 00:31:56.547;449;cell2;cell2_operation;start
01-06-2023 00:31:56.547;452;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 00:34:32.920;447;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:34:32.920;448;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:34:49.264;445;cell1;cell1_operation;end
01-06-2023 00:34:49.264;445;mes;order_completed;NA
01-06-2023 00:34:49.264;446;mes;enter_cell1;NA
01-06-2023 00:34:49.264;446;cell1;cell1_operation;start
01-06-2023 00:36:58.072;452;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 00:37:21.895;448;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:37:21.895;450;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:37:38.622;453;mes;new_order;NA
01-06-2023 00:37:38.622;453;mes;direct_to_line1;NA
01-06-2023 00:38:31.232;454;mes;new_order;NA
01-06-2023 00:38:31.232;454;mes;direct_to_line2;NA
01-06-2023 00:38:31.232;454;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 00:40:43.566;449;cell2;cell2_operation;end
01-06-2023 00:40:43.566;449;mes;order_completed;NA
01-06-2023 00:40:43.566;452;mes;enter_cell2;NA
01-06-2023 00:40:43.566;452;cell2;cell2_operation;start
01-06-2023 00:41:14.021;450;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:41:14.021;451;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:41:28.877;446;cell1;cell1_operation;end
01-06-2023 00:41:28.877;446;mes;order_completed;NA
01-06-2023 00:41:28.877;447;mes;enter_cell1;NA
01-06-2023 00:41:28.877;447;cell1;cell1_operation;start
01-06-2023 00:44:11.397;454;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 00:44:22.218;455;mes;new_order;NA
01-06-2023 00:44:22.218;455;mes;direct_to_line1;NA
01-06-2023 00:46:08.690;451;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:46:08.690;453;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:47:09.294;447;cell1;cell1_operation;end
01-06-2023 00:47:09.294;447;mes;order_completed;NA
01-06-2023 00:47:09.294;448;mes;enter_cell1;NA
01-06-2023 00:47:09.294;448;cell1;cell1_operation;start
01-06-2023 00:49:29.599;452;cell2;cell2_operation;end
01-06-2023 00:49:29.599;452;mes;order_completed;NA
01-06-2023 00:49:29.599;454;mes;enter_cell2;NA
01-06-2023 00:49:29.599;454;cell2;cell2_operation;start
01-06-2023 00:50:07.015;453;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:50:07.015;455;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:53:50.727;455;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:54:07.045;448;cell1;cell1_operation;end
01-06-2023 00:54:07.045;448;mes;order_completed;NA
01-06-2023 00:54:07.045;450;mes;enter_cell1;NA
01-06-2023 00:54:07.045;450;cell1;cell1_operation;start
01-06-2023 00:57:53.503;454;cell2;cell2_operation;end
01-06-2023 00:57:53.503;454;mes;order_completed;NA
01-06-2023 00:59:08.806;456;mes;new_order;NA
01-06-2023 00:59:08.806;456;mes;direct_to_line1;NA
01-06-2023 00:59:08.806;456;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:59:28.559;457;mes;new_order;NA
01-06-2023 00:59:28.559;457;mes;direct_to_line1;NA
01-06-2023 01:00:38.813;458;mes;new_order;NA
01-06-2023 01:00:38.813;458;mes;direct_to_line2;NA
01-06-2023 01:00:38.813;458;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 01:01:55.027;450;cell1;cell1_operation;end
01-06-2023 01:01:55.027;450;mes;order_completed;NA
01-06-2023 01:01:55.027;451;mes;enter_cell1;NA
01-06-2023 01:01:55.027;451;cell1;cell1_operation;start
01-06-2023 01:03:19.798;456;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:03:19.798;457;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:06:49.704;458;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 01:06:49.704;458;mes;enter_cell2;NA
01-06-2023 01:06:49.704;458;cell2;cell2_operation;start
01-06-2023 01:07:30.639;459;mes;new_order;NA
01-06-2023 01:07:30.639;459;mes;direct_to_line1;NA
01-06-2023 01:07:55.876;457;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:07:55.876;459;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:09:12.292;451;cell1;cell1_operation;end
01-06-2023 01:09:12.292;451;mes;order_completed;NA
01-06-2023 01:09:12.292;453;mes;enter_cell1;NA
01-06-2023 01:09:12.292;453;cell1;cell1_operation;start
01-06-2023 01:13:20.625;459;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:15:02.262;458;cell2;cell2_operation;end
01-06-2023 01:15:02.262;458;mes;order_completed;NA
01-06-2023 01:15:56.761;460;mes;new_order;NA
01-06-2023 01:15:56.761;460;mes;direct_to_line1;NA
01-06-2023 01:15:56.761;460;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:17:11.470;453;cell1;cell1_operation;end
01-06-2023 01:17:11.470;453;mes;order_completed;NA
01-06-2023 01:17:11.470;455;mes;enter_cell1;NA
01-06-2023 01:17:11.470;455;cell1;cell1_operation;start
01-06-2023 01:18:30.031;461;mes;new_order;NA
01-06-2023 01:18:30.031;461;mes;direct_to_line1;NA
01-06-2023 01:19:47.254;460;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:19:47.254;461;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:21:52.172;461;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:22:19.249;455;cell1;cell1_operation;end
01-06-2023 01:22:19.249;455;mes;order_completed;NA
01-06-2023 01:22:19.249;456;mes;enter_cell1;NA
01-06-2023 01:22:19.249;456;cell1;cell1_operation;start
01-06-2023 01:22:29.268;462;mes;new_order;NA
01-06-2023 01:22:29.268;462;mes;direct_to_line1;NA
01-06-2023 01:22:29.268;462;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:24:49.311;463;mes;new_order;NA
01-06-2023 01:24:49.311;463;mes;direct_to_line2;NA
01-06-2023 01:24:49.311;463;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 01:26:11.870;462;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:26:25.621;464;mes;new_order;NA
01-06-2023 01:26:25.621;464;mes;direct_to_line1;NA
01-06-2023 01:27:14.324;465;mes;new_order;NA
01-06-2023 01:27:14.324;465;mes;direct_to_line2;NA
01-06-2023 01:28:11.422;456;cell1;cell1_operation;end
01-06-2023 01:28:11.422;456;mes;order_completed;NA
01-06-2023 01:28:11.422;457;mes;enter_cell1;NA
01-06-2023 01:28:11.422;457;cell1;cell1_operation;start
01-06-2023 01:28:11.422;464;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:28:42.308;466;mes;new_order;NA
01-06-2023 01:28:42.308;466;mes;direct_to_line1;NA
01-06-2023 01:30:24.160;463;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 01:30:24.160;465;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 01:31:13.378;467;mes;new_order;NA
01-06-2023 01:31:13.378;467;mes;direct_to_line2;NA
01-06-2023 01:31:24.588;464;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:35:21.528;457;cell1;cell1_operation;end
01-06-2023 01:35:21.528;457;mes;order_completed;NA
01-06-2023 01:35:21.931;468;mes;new_order;NA
01-06-2023 01:35:21.931;468;mes;direct_to_line2;NA
01-06-2023 01:36:26.088;465;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 01:37:28.918;469;mes;new_order;NA
01-06-2023 01:37:28.918;469;mes;direct_to_line2;NA
01-06-2023 01:41:55.984;470;mes;new_order;NA
01-06-2023 01:41:55.984;470;mes;direct_to_line1;NA
01-06-2023 01:46:21.307;463;mes;enter_cell2;NA
01-06-2023 01:46:21.307;463;cell2;cell2_operation;start
01-06-2023 01:52:25.809;471;mes;new_order;NA
01-06-2023 01:52:25.809;471;mes;direct_to_line2;NA
01-06-2023 01:52:58.323;463;cell2;cell2_operation;end
01-06-2023 01:52:58.323;463;mes;order_completed;NA
01-06-2023 01:52:58.323;465;mes;enter_cell2;NA
01-06-2023 01:52:58.323;465;cell2;cell2_operation;start
01-06-2023 01:53:31.238;472;mes;new_order;NA
01-06-2023 01:53:31.238;472;mes;direct_to_line2;NA
01-06-2023 01:59:22.810;473;mes;new_order;NA
01-06-2023 01:59:22.810;473;mes;direct_to_line1;NA
01-06-2023 01:59:45.050;474;mes;new_order;NA
01-06-2023 01:59:45.050;474;mes;direct_to_line1;NA
01-06-2023 02:00:09.041;475;mes;new_order;NA
01-06-2023 02:00:09.041;475;mes;direct_to_line1;NA
01-06-2023 02:02:36.391;476;mes;new_order;NA
01-06-2023 02:02:36.391;476;mes;direct_to_line2;NA
01-06-2023 02:03:09.192;465;cell2;cell2_operation;end
01-06-2023 02:03:09.192;465;mes;order_completed;NA
01-06-2023 02:03:40.643;477;mes;new_order;NA
01-06-2023 02:03:40.643;477;mes;direct_to_line2;NA
01-06-2023 02:03:58.355;478;mes;new_order;NA
01-06-2023 02:03:58.355;478;mes;direct_to_line2;NA
01-06-2023 02:05:15.067;479;mes;new_order;NA
01-06-2023 02:05:15.067;479;mes;direct_to_line1;NA
01-06-2023 02:06:43.661;480;mes;new_order;NA
01-06-2023 02:06:43.661;480;mes;direct_to_line1;NA
01-06-2023 02:07:53.527;481;mes;new_order;NA
01-06-2023 02:07:53.527;481;mes;direct_to_line2;NA
01-06-2023 02:11:33.588;482;mes;new_order;NA
01-06-2023 02:11:33.588;482;mes;direct_to_line1;NA
01-06-2023 02:12:13.110;483;mes;new_order;NA
01-06-2023 02:12:13.110;483;mes;direct_to_line2;NA
01-06-2023 02:15:27.199;484;mes;new_order;NA
01-06-2023 02:15:27.199;484;mes;direct_to_line1;NA
01-06-2023 02:15:43.348;485;mes;new_order;NA
01-06-2023 02:15:43.348;485;mes;direct_to_line2;NA
01-06-2023 02:17:06.146;486;mes;new_order;NA
01-06-2023 02:17:06.146;486;mes;direct_to_line1;NA
01-06-2023 02:34:21.561;487;mes;new_order;NA
01-06-2023 02:34:21.561;487;mes;direct_to_line1;NA
01-06-2023 02:34:33.844;488;mes;new_order;NA
01-06-2023 02:34:33.844;488;mes;direct_to_line2;NA
01-06-2023 02:35:15.691;489;mes;new_order;NA
01-06-2023 02:35:15.691;489;mes;direct_to_line2;NA
01-06-2023 02:36:29.126;490;mes;new_order;NA
01-06-2023 02:36:29.126;490;mes;direct_to_line2;NA
01-06-2023 02:36:58.318;491;mes;new_order;NA
01-06-2023 02:36:58.318;491;mes;direct_to_line1;NA
01-06-2023 02:37:04.997;492;mes;new_order;NA
01-06-2023 02:37:04.997;492;mes;direct_to_line2;NA
01-06-2023 02:38:25.609;493;mes;new_order;NA
01-06-2023 02:38:25.609;493;mes;direct_to_line1;NA
01-06-2023 02:38:45.099;494;mes;new_order;NA
01-06-2023 02:38:45.099;494;mes;direct_to_line2;NA
