timestamp;order_id;resource;event;event_type
01-06-2023 00:02:45.957;442;mes;new_order;NA
01-06-2023 00:02:45.957;442;mes;direct_to_line2;NA
01-06-2023 00:02:45.957;442;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 00:09:01.537;443;mes;new_order;NA
01-06-2023 00:09:01.537;443;mes;direct_to_line2;NA
01-06-2023 00:09:12.659;442;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 00:09:12.659;442;mes;enter_cell2;NA
01-06-2023 00:09:12.659;442;cell2;cell2_operation;start
01-06-2023 00:09:12.659;443;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 00:13:04.963;443;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 00:13:15.039;444;mes;new_order;NA
01-06-2023 00:13:15.039;444;mes;direct_to_line1;NA
01-06-2023 00:13:15.039;444;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:16:21.849;445;mes;new_order;NA
01-06-2023 00:16:21.849;445;mes;direct_to_line2;NA
01-06-2023 00:16:21.849;445;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 00:17:38.588;444;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:17:38.588;444;mes;enter_cell1;NA
01-06-2023 00:17:38.588;444;cell1;cell1_operation;start
01-06-2023 00:18:19.320;446;mes;new_order;NA
01-06-2023 00:18:19.320;446;mes;direct_to_line2;NA
01-06-2023 00:18:24.363;442;cell2;cell2_operation;end
01-06-2023 00:18:24.363;442;mes;order_completed;NA
01-06-2023 00:18:24.363;443;mes;enter_cell2;NA
01-06-2023 00:18:24.363;443;cell2;cell2_operation;start
01-06-2023 00:22:21.454;445;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 00:22:21.454;446;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 00:25:00.074;444;cell1;cell1_operation;end
01-06-2023 00:25:00.074;444;mes;order_completed;NA
01-06-2023 00:26:03.829;443;cell2;cell2_operation;end
01-06-2023 00:26:03.829;443;mes;order_completed;NA
01-06-2023 00:26:03.829;445;mes;enter_cell2;NA
01-06-2023 00:26:03.829;445;cell2;cell2_operation;start
01-06-2023 00:28:20.316;446;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 00:31:08.759;447;mes;new_order;NA
01-06-2023 00:31:08.759;447;mes;direct_to_line1;NA
01-06-2023 00:31:08.759;447;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:32:36.082;448;mes;new_order;NA
01-06-2023 00:32:36.082;448;mes;direct_to_line2;NA
01-06-2023 00:32:36.082;448;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 00:33:19.617;445;cell2;cell2_operation;end
01-06-2023 00:33:19.617;445;mes;order_completed;NA
01-06-2023 00:33:19.617;446;mes;enter_cell2;NA
01-06-2023 00:33:19.617;446;cell2;cell2_operation;start
01-06-2023 00:35:09.371;447;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:35:09.371;447;mes;enter_cell1;NA
01-06-2023 00:35:09.371;447;cell1;cell1_operation;start
01-06-2023 00:39:58.188;448;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 00:41:00.750;447;cell1;cell1_operation;end
01-06-2023 00:41:00.750;447;mes;order_completed;NA
01-06-2023 00:42:37.446;446;cell2;cell2_operation;end
01-06-2023 00:42:37.446;446;mes;order_completed;NA
01-06-2023 00:42:37.446;448;mes;enter_cell2;NA
01-06-2023 00:42:37.446;448;cell2;cell2_operation;start
01-06-2023 00:47:38.940;449;mes;new_order;NA
01-06-2023 00:47:38.940;449;mes;direct_to_line2;NA
01-06-2023 00:47:38.940;449;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 00:51:22.363;448;cell2;cell2_operation;end
01-06-2023 00:51:22.363;448;mes;order_completed;NA
01-06-2023 00:53:22.489;450;mes;new_order;NA
01-06-2023 00:53:22.489;450;mes;direct_to_line2;NA
01-06-2023 00:54:50.870;449;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 00:54:50.870;449;mes;enter_cell2;NA
01-06-2023 00:54:50.870;449;cell2;cell2_operation;start
01-06-2023 00:54:50.870;450;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 00:55:25.710;451;mes;new_order;NA
01-06-2023 00:55:25.710;451;mes;direct_to_line1;NA
01-06-2023 00:55:25.710;451;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 00:55:46.197;452;mes;new_order;NA
01-06-2023 00:55:46.197;452;mes;direct_to_line1;NA
01-06-2023 00:58:59.174;453;mes;new_order;NA
01-06-2023 00:58:59.174;453;mes;direct_to_line1;NA
01-06-2023 00:59:42.706;451;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 00:59:42.706;451;mes;enter_cell1;NA
01-06-2023 00:59:42.706;451;cell1;cell1_operation;start
01-06-2023 00:59:42.706;452;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:00:09.965;450;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 01:01:36.951;454;mes;new_order;NA
01-06-2023 01:01:36.951;454;mes;direct_to_line1;NA
01-06-2023 01:02:47.531;449;cell2;cell2_operation;end
01-06-2023 01:02:47.531;449;mes;order_completed;NA
01-06-2023 01:02:47.531;450;mes;enter_cell2;NA
01-06-2023 01:02:47.531;450;cell2;cell2_operation;start
01-06-2023 01:03:56.937;452;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:03:56.937;453;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:06:12.590;453;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:06:12.590;454;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:06:28.314;451;cell1;cell1_operation;end
01-06-2023 01:06:28.314;451;mes;order_completed;NA
01-06-2023 01:06:28.314;452;mes;enter_cell1;NA
01-06-2023 01:06:28.314;452;cell1;cell1_operation;start
01-06-2023 01:09:42.337;454;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:10:24.350;450;cell2;cell2_operation;end
01-06-2023 01:10:24.350;450;mes;order_completed;NA
01-06-2023 01:11:41.689;455;mes;new_order;NA
01-06-2023 01:11:41.689;455;mes;direct_to_line1;NA
01-06-2023 01:11:41.689;455;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:12:46.006;452;cell1;cell1_operation;end
01-06-2023 01:12:46.006;452;mes;order_completed;NA
01-06-2023 01:12:46.006;453;mes;enter_cell1;NA
01-06-2023 01:12:46.006;453;cell1;cell1_operation;start
01-06-2023 01:13:05.058;456;mes;new_order;NA
01-06-2023 01:13:05.058;456;mes;direct_to_line1;NA
01-06-2023 01:15:38.010;455;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 01:15:38.010;456;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 01:17:49.871;457;mes;new_order;NA
01-06-2023 01:17:49.871;457;mes;direct_to_line1;NA
01-06-2023 01:19:21.396;453;cell1;cell1_operation;end
01-06-2023 01:19:21.396;453;mes;order_completed;NA
01-06-2023 01:19:21.396;454;mes;enter_cell1;NA
01-06-2023 01:19:21.396;454;cell1;cell1_operation;start
01-06-2023 01:19:51.828;458;mes;new_order;NA
01-06-2023 01:19:51.828;458;mes;direct_to_line1;NA
01-06-2023 01:20:56.882;456;agv1;agv1_transport_to_cell1_buffer;end
